tmdbId,person_id,name,character,order
89,741,River Phoenix,Young Indy,6
89,742,Michael Byrne,Vogel,7
89,743,Kevork Malikyan,Kazım,8
89,744,Robert Eddison,Grail Knight,9
78,3,Harrison Ford,Deckard,0
78,585,Rutger Hauer,Batty,1
78,586,Sean Young,Rachael,2
78,587,Edward James Olmos,Gaff,3
78,588,M. Emmet Walsh,Bryant,4
78,589,Daryl Hannah,Pris,5
78,590,William Sanderson,Sebastian,6
78,591,Brion James,Leon,7
78,592,Joe Turkel,Tyrell,8
78,593,Joanna Cassidy,Zhora,9
12,13,Albert Brooks,Marlin (voice),0
12,14,Ellen DeGeneres,Dory (voice),1
12,12,Alexander Gould,Nemo (voice),2
12,5293,Willem Dafoe,Gill (voice),3
12,118,Geoffrey Rush,Nigel (voice),4
12,18,Brad Garrett,Bloat (voice),5
12,19,Allison Janney,Peach (voice),6
12,6168,Austin Pendleton,Gurgle (voice),7
12,17401,Stephen Root,Bubbles (voice),8
12,14723,Vicki Lewis,Deb / Flo (voice),9
585,1230,John Goodman,Sullivan (voice),0
585,7904,Billy Crystal,Mike (voice),1
585,7905,Mary Gibbs,Boo (voice),2
585,884,Steve Buscemi,Randall (voice),3
585,5563,James Coburn,Waternoose (voice),4
585,7906,Jennifer Tilly,Celia (voice),5
585,10,Bob Peterson,Roz (voice),6
585,7907,John Ratzenberger,Yeti (voice),7
585,7908,Frank Oz,Jeff Fungus (voice),8
585,7884,Daniel Gerson,Needleman / Smitty (voice),9
597,6193,Leonardo DiCaprio,Jack Dawson,0
597,204,Kate Winslet,Rose DeWitt Bukater,1
597,1954,Billy Zane,Cal Hockley,2
597,8534,Kathy Bates,Molly Brown,3
597,3713,Frances Fisher,Ruth DeWitt Bukater,4
597,8535,Gloria Stuart,Old Rose,5
597,2053,Bill Paxton,Brock Lovett,6
597,1369,Bernard Hill,Captain Smith,7
597,2076,David Warner,Spicer Lovejoy,8
597,8536,Victor Garber,Thomas Andrews,9
562,62,Bruce Willis,John McClane,0
562,4566,Alan Rickman,Hans Gruber,1
562,7674,Alexander Godunov,Karl,2
562,7673,Bonnie Bedelia,Holly Gennaro McClane,3
562,7672,Reginald VelJohnson,Al Powell,4
562,7675,Paul Gleason,Dwayne Robinson,5
562,7677,De'voreaux White,Argyle,6
562,7676,William Atherton,Richard Thornburg,7
562,7678,Hart Bochner,Harry Ellis,8
562,4995,James Shigeta,Joseph Yoshinobu Takagi,9
348,4139,Tom Skerritt,Dallas,0
348,10205,Sigourney Weaver,Ripley,1
348,5047,Veronica Cartwright,Lambert,2
348,5048,Harry Dean Stanton,Brett,3
