tmdbId,review_count,pct_positive,avg_sentiment_score
2454,3,0.6666666666666666,0.9990676641464233
2493,4,0.75,0.9990715682506561
2501,4,1.0,0.9988780319690704
2502,4,1.0,0.998911440372467
2503,4,1.0,0.9987563341856003
2539,2,0.5,0.9955946803092957
2567,1,1.0,0.9988800883293152
2604,3,1.0,0.9988811016082764
2609,2,1.0,0.9989207684993744
2614,2,1.0,0.9989164471626282
2616,1,1.0,0.9989277720451355
2619,2,0.5,0.9991406798362732
2623,2,0.5,0.9991836547851562
2636,3,0.3333333333333333,0.999170700709025
2637,1,1.0,0.9988967180252075
2640,3,1.0,0.9969130357106527
2642,1,1.0,0.9988884329795837
2649,1,1.0,0.99892657995224
2655,4,0.5,0.9961134344339371
2665,2,0.0,0.9993972778320312
2666,6,0.8333333333333334,0.998754213253657
2667,1,1.0,0.9947526454925537
2668,6,0.6666666666666666,0.9983816643555959
2671,1,1.0,0.9988020658493042
