tmdbId,person_id,name,job
416477,22215,Michael Showalter,Director
522931,143059,Patrick Hughes,Director
848326,15217,Zack Snyder,Director
418078,1423660,Trey Edward Shults,Director
412656,11694,Doug Liman,Director
549053,116805,Paul Feig,Director
335796,551463,Mike Flanagan,Director
539537,55075,Jeff Wadlow,Director
629542,1261455,Pierre Perifel,Director
1304313,1398631,Lee Cronin,Director
840430,13235,Alexander Payne,Director
581392,939147,Yeon Sang-ho,Director
316023,1061773,Jake Szymanski,Director
14564,94403,F. Javier Gutiérrez,Director
457335,1422673,Jason Lei Howden,Director
339877,1003237,DK Welchman,Director
339877,1466181,Hugh Welchman,Director
407436,1333,Andy Serkis,Director
1106739,190,Clint Eastwood,Director
899112,76927,Tommy Wirkola,Director
1084199,1087245,Drew Hancock,Director
587807,20400,Tim Story,Director
747188,5655,Wes Anderson,Director
303991,69371,Jean-Marc Vallée,Director
552178,16863,Todd Haynes,Director
364433,1130801,Gabriele Mainetti,Director
648579,1211000,Tom Gormican,Director
267193,18865,Louis Leterrier,Director
365942,36804,Peter Chelsom,Director
625568,126910,Derrick Borte,Director
663712,933176,Damien Leone,Director
384680,65167,Scott Cooper,Director
290512,357,Hany Abu-Assad,Director
931285,1828590,Simon McQuoid,Director
968051,1607672,Michael Chaves,Director
483906,71329,Jonas Åkerlund,Director
332210,8010,Doug Sweetland,Director
332210,52934,Nicholas Stoller,Director
581600,36602,Peter Berg,Director
428449,592493,David Lowery,Director
522212,1144604,Destin Daniel Cretton,Director
763285,865,Michael Bay,Director
481084,12080,Conrad Vernon,Director
481084,142587,Greg Tiernan,Director
401469,72757,Steve McQueen,Director
804150,9281,Elizabeth Banks,Director
347375,36602,Peter Berg,Director
280217,64151,Mike Mitchell,Director
369557,45117,John Carney,Director
502416,55789,Tate Taylor,Director
539972,556172,J.C. Chandor,Director
696374,935563,Tosca Musk,Director
399402,1003245,Donovan Marsh,Director
774752,15218,James Gunn,Director
951491,2150,Kevin Greutert,Director
376866,225009,Pablo Larraín,Director
446791,578,Ridley Scott,Director
1265609,143059,Patrick Hughes,Director
523139,5877,Vincenzo Natali,Director
666277,2518227,Celine Song,Director
484718,53267,Craig Brewer,Director
329833,7399,Ben Stiller,Director
964980,880,Ben Affleck,Director
527435,1281387,Clay Kaytis,Director
400710,19346,Niels Arden Oplev,Director
724495,71947,Gina Prince-Bythewood,Director
372343,74396,Tomas Alfredson,Director
475303,1243,Woody Allen,Director
454992,1302549,Susanna Fogel,Director
701387,122423,Yorgos Lanthimos,Director
615665,61175,John Whitesell,Director
507076,14597,Gaspar Noé,Director
371645,55934,Taika Waititi,Director
